PSATPTRL    -9.31  -47.39  17.10  11.54   0.92   0.96   3.79   0.60   0.45   4.12   0.00
PSATLJET    -7.33  -47.48   1.06   8.08   3.87   2.98   4.91   4.87   4.42   6.41   3.18
PSATUCR     -3.83  -49.65   2.07   7.12  13.81   2.98   6.32   4.83  13.46   9.91   6.13
PSATXIVJ   -29.07  -51.67   0.00   0.00   2.60  17.90  31.00   8.70   0.10  13.00  13.80
PSATDFRC   -29.45  -53.28   0.00   0.18   0.32  16.27  13.88   4.05   2.10   3.48   1.43
PSATREAL   -29.02  -53.19   0.00   0.00   0.67  22.57  20.37   6.00   0.90   1.57   7.30
PSATCTAV   -29.01  -51.39   0.00   0.00   1.26  11.78  27.54  10.96   0.36   4.92   9.20
PSATERNT   -28.56  -52.54   0.00   0.00   3.10  28.90  35.30   7.00   0.20  31.90  15.50
PSATSTPL   -27.14  -49.52   0.00   0.00   0.00   5.20  39.20   7.20   3.05  26.85  18.40
PSATCVCH   -25.14  -48.87   0.00   0.00   0.05   0.00  16.90  18.45   5.80  22.50  15.50
PSATAMY    -12.60  -69.12  16.84  11.98  10.15  22.27   7.00  12.22  14.49  23.28  16.64
PSATGJR    -10.73  -65.35   5.62   4.63   7.27  11.20   8.24   1.95   2.94  14.09  11.01
PSATPRNC   -12.43  -64.43   7.67   9.78  17.92  21.65  19.01   9.97  10.74  12.14   7.53
PSATSANT    -8.87  -63.97  17.90  22.42  30.40  49.27  10.28   1.23   4.93   8.78   5.68
PSATDARD   -10.16  -59.46  27.12  31.20  27.59  12.73   3.48   5.51   8.17  11.41   9.83
PSATGUAP   -15.12  -58.96  21.80   6.80  16.60  21.10   7.60   5.70   6.40   8.70   3.10
PSATJIRA    -9.25  -64.65  10.46   9.89  13.33  17.78  13.99   7.10  10.66  15.82  13.39
PSATROND   -11.99  -60.70  16.95  25.35  43.85  29.05  10.00   5.10   6.85   5.40   9.35
PSATSAMU    -8.75  -63.45  12.66  15.43  26.04  48.26   9.73   0.60   6.87  10.70   8.24
PSATBSOR    -6.74  -52.00  27.56  14.00   8.16   7.30   7.28  11.02   6.14   3.68   1.30
PSATBESP    -6.75  -51.77   7.05   3.90  10.52   4.35   6.98   5.58   3.56  10.25   1.24
PSATPIME    -3.41  -51.91  15.63   3.95   4.43   6.08   3.17   7.48   3.65   8.84   6.48
PSATCOLI   -10.98  -55.77  35.51  30.38  20.77   9.90   8.95   6.06   9.50   5.36   2.72
PSATSAEL    -9.19  -57.04  26.96  20.60  11.94   7.28  11.03   8.29   5.23   7.62   3.55
PSATIRAP   -16.74  -42.57  37.10  21.51  11.47   9.00   0.00   0.06   0.00   0.00   0.00
PSATITBI   -15.97  -39.59  20.15  21.89   3.61   0.74   0.19   0.88   0.06   0.19   0.00
PSATBALB    -1.92  -59.47   0.19   0.32   0.21   0.02   0.05   4.74   5.77   0.91   4.41
PSATCUNA    -2.82  -54.30  25.19  11.33   0.16   0.00   0.21   3.95   1.66   3.78   3.39
PSATJARI    -0.65  -52.52   1.20   2.75   1.49   0.12   1.64   4.28   5.95   7.40   0.42
PSATFGOM     0.86  -51.20   0.15   0.94   2.43   0.00   0.48   3.05  11.11   5.78   0.71
PSATUBE     -6.75  -43.57   2.42  11.56   1.95   0.82   0.27   0.44   3.16   1.38   0.14
PSATITQ    -17.09  -54.83   4.35   3.20   8.95   7.60   5.30  13.10   9.25  12.90   0.00
PSATJAU    -15.24  -58.73  24.60   8.10  17.70  14.90   5.25   6.05   6.85   8.40   1.35
PSATMAN    -14.87  -55.78  17.36  19.14  23.16  13.46   3.14   8.92   8.84   1.86   2.34
PSATPTP    -17.61  -54.83   0.60   3.05   9.00   5.60   7.70  15.10   8.75  13.80   0.00
PSATSTCL   -17.90  -40.20  35.17  25.36   1.26   0.00   0.00   0.57   0.06   0.00   0.00
PSATPDC    -12.58  -39.00   0.22   0.73   0.29   1.98   2.70   1.38   0.01   0.00   0.10
PSATROSA   -20.92  -41.72   3.70  17.90   1.20   0.00   0.00   0.00   0.00   0.20   0.00
PSATCAN    -20.21  -42.85   1.50  15.60  14.33  10.13   0.00   0.00   2.10   1.07   0.47
PSATSAC    -19.64  -42.85   8.73  13.83  25.83   9.27   0.00   0.00   0.33   0.00   3.17
PSATPES    -19.12  -42.66  17.74  28.88  23.80  14.88   0.00   0.00   0.16   0.00   3.16
PSATMAS    -19.50  -40.92  31.51  27.10   7.39   1.17   0.01   0.00   0.19   0.01   0.11
PSATSBR    -23.37  -45.87   0.00   0.00   0.00   0.27   0.50   7.83   9.17  10.23  15.30
PSATJAG    -23.20  -46.03   0.00   0.00   0.00   0.00   0.00   8.93   8.30  12.13  17.50
PSATFUNI   -22.53  -44.57   0.00   0.00   3.62   5.46   2.12   5.24   8.00   8.30  11.46
PSATSACE   -22.48  -43.84   0.00   0.00  13.50  16.10   1.00   0.00  10.10   5.50   6.80
PSATPIC    -21.91  -43.54   0.00   2.20  19.20  32.10   0.00   0.00   7.30   4.70   1.00
PSATSOGI   -21.94  -43.36   0.00  16.50  31.20  12.00   0.00   0.00  13.90   4.70   2.70
PSATIPSI   -21.84  -42.58   0.00   3.35  25.25  15.30   0.15   0.00   9.67   4.85   3.58
PSATTCLJ   -22.69  -43.83   0.00   0.43  10.43  14.97   1.00   0.00   8.97   4.63   6.57
PSATBIGU   -25.51  -53.67   0.05   0.00   0.00   0.00  10.93   5.85  10.35  17.48   7.25
PSATBRAU   -21.45  -42.41   0.43  12.47  29.57   6.83   0.00   0.00   6.50   3.50   3.47
PSATSUIC   -20.08  -40.58   0.00  34.90  22.50  12.20  11.80  10.90   8.80   8.00   6.80
